2d,3d,label
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01ANG_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01ANG_5.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01ANG_10.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01ANG_15.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01ANG_20.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01DIS_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01FEA_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01HAP_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01SAD_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F01SUR_0.pt,1
2d/feat2d_F01ANG_0.pt,3d/feat3d_F02ANG_0.pt,-1
2d/feat2d_F01ANG_0.pt,3d/feat3d_M01ANG_0.pt,-1
2d/feat2d_F01ANG_1.pt,3d/feat3d_F01ANG_1.pt,1
2d/feat2d_F01ANG_1.pt,3d/feat3d_F03ANG_1.pt,-1
2d/feat2d_F01ANG_1.pt,3d/feat3d_M02ANG_1.pt,-1
2d/feat2d_F01ANG_2.pt,3d/feat3d_F01ANG_2.pt,1
2d/feat2d_F01ANG_2.pt,3d/feat3d_F04ANG_2.pt,-1
2d/feat2d_F01ANG_2.pt,3d/feat3d_M03ANG_2.pt,-1
2d/feat2d_F01ANG_3.pt,3d/feat3d_F01ANG_3.pt,1
2d/feat2d_F01ANG_3.pt,3d/feat3d_F05ANG_3.pt,-1
2d/feat2d_F01ANG_3.pt,3d/feat3d_M04ANG_3.pt,-1
2d/feat2d_F01ANG_4.pt,3d/feat3d_F01ANG_4.pt,1
2d/feat2d_F01ANG_4.pt,3d/feat3d_F06ANG_4.pt,-1
2d/feat2d_F01ANG_4.pt,3d/feat3d_M05ANG_4.pt,-1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01ANG_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01ANG_10.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01ANG_15.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01ANG_20.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01DIS_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01FEA_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01HAP_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01SAD_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F01SUR_5.pt,1
2d/feat2d_F01ANG_5.pt,3d/feat3d_F07ANG_5.pt,-1
2d/feat2d_F01ANG_5.pt,3d/feat3d_M06ANG_5.pt,-1
2d/feat2d_F01ANG_6.pt,3d/feat3d_F01ANG_6.pt,1
2d/feat2d_F01ANG_6.pt,3d/feat3d_F08ANG_6.pt,-1
2d/feat2d_F01ANG_6.pt,3d/feat3d_M07ANG_6.pt,-1
2d/feat2d_F01ANG_7.pt,3d/feat3d_F01ANG_7.pt,1
2d/feat2d_F01ANG_7.pt,3d/feat3d_F09ANG_7.pt,-1
2d/feat2d_F01ANG_7.pt,3d/feat3d_M08ANG_7.pt,-1
2d/feat2d_F01ANG_8.pt,3d/feat3d_F01ANG_8.pt,1
2d/feat2d_F01ANG_8.pt,3d/feat3d_F10ANG_8.pt,-1
2d/feat2d_F01ANG_8.pt,3d/feat3d_M09ANG_8.pt,-1
2d/feat2d_F01ANG_9.pt,3d/feat3d_F01ANG_9.pt,1
2d/feat2d_F01ANG_9.pt,3d/feat3d_F11ANG_9.pt,-1
2d/feat2d_F01ANG_9.pt,3d/feat3d_M10ANG_9.pt,-1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01ANG_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01ANG_15.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01ANG_20.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01DIS_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01FEA_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01HAP_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01SAD_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F01SUR_10.pt,1
2d/feat2d_F01ANG_10.pt,3d/feat3d_F12ANG_10.pt,-1
2d/feat2d_F01ANG_10.pt,3d/feat3d_M11ANG_10.pt,-1
2d/feat2d_F01ANG_11.pt,3d/feat3d_F01ANG_11.pt,1
2d/feat2d_F01ANG_11.pt,3d/feat3d_F13ANG_11.pt,-1
2d/feat2d_F01ANG_11.pt,3d/feat3d_M12ANG_11.pt,-1
2d/feat2d_F01ANG_12.pt,3d/feat3d_F01ANG_12.pt,1
2d/feat2d_F01ANG_12.pt,3d/feat3d_F14ANG_12.pt,-1
2d/feat2d_F01ANG_12.pt,3d/feat3d_M13ANG_12.pt,-1
2d/feat2d_F01ANG_13.pt,3d/feat3d_F01ANG_13.pt,1
2d/feat2d_F01ANG_13.pt,3d/feat3d_F15ANG_13.pt,-1
2d/feat2d_F01ANG_13.pt,3d/feat3d_M14ANG_13.pt,-1
2d/feat2d_F01ANG_14.pt,3d/feat3d_F01ANG_14.pt,1
2d/feat2d_F01ANG_14.pt,3d/feat3d_F16ANG_14.pt,-1
2d/feat2d_F01ANG_14.pt,3d/feat3d_M15ANG_14.pt,-1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01ANG_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01ANG_20.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01DIS_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01FEA_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01HAP_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01SAD_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F01SUR_15.pt,1
2d/feat2d_F01ANG_15.pt,3d/feat3d_F17ANG_15.pt,-1
2d/feat2d_F01ANG_15.pt,3d/feat3d_M16ANG_15.pt,-1
2d/feat2d_F01ANG_16.pt,3d/feat3d_F01ANG_16.pt,1
2d/feat2d_F01ANG_16.pt,3d/feat3d_F18ANG_16.pt,-1
2d/feat2d_F01ANG_16.pt,3d/feat3d_M17ANG_16.pt,-1
2d/feat2d_F01ANG_17.pt,3d/feat3d_F01ANG_17.pt,1
2d/feat2d_F01ANG_17.pt,3d/feat3d_F19ANG_17.pt,-1
2d/feat2d_F01ANG_17.pt,3d/feat3d_M18ANG_17.pt,-1
2d/feat2d_F01ANG_18.pt,3d/feat3d_F01ANG_18.pt,1
