2d,3d,label
2d-GhostNet-FaceGen/feat2d_0.pt,3d-Face3D-FaceGen/feat3d_0.pt,1
2d-GhostNet-FaceGen/feat2d_4376.pt,3d-Face3D-FaceGen/feat3d_4376.pt,1
2d-GhostNet-FaceGen/feat2d_1.pt,3d-Face3D-FaceGen/feat3d_1.pt,1
2d-GhostNet-FaceGen/feat2d_4377.pt,3d-Face3D-FaceGen/feat3d_4377.pt,1
2d-GhostNet-FaceGen/feat2d_10.pt,3d-Face3D-FaceGen/feat3d_10.pt,1
2d-GhostNet-FaceGen/feat2d_4378.pt,3d-Face3D-FaceGen/feat3d_4378.pt,1
2d-GhostNet-FaceGen/feat2d_100.pt,3d-Face3D-FaceGen/feat3d_100.pt,1
2d-GhostNet-FaceGen/feat2d_4379.pt,3d-Face3D-FaceGen/feat3d_4379.pt,1
2d-GhostNet-FaceGen/feat2d_1000.pt,3d-Face3D-FaceGen/feat3d_1000.pt,1
2d-GhostNet-FaceGen/feat2d_438.pt,3d-Face3D-FaceGen/feat3d_438.pt,1
2d-GhostNet-FaceGen/feat2d_1001.pt,3d-Face3D-FaceGen/feat3d_1001.pt,1
2d-GhostNet-FaceGen/feat2d_4380.pt,3d-Face3D-FaceGen/feat3d_4380.pt,1
2d-GhostNet-FaceGen/feat2d_1002.pt,3d-Face3D-FaceGen/feat3d_1002.pt,1
2d-GhostNet-FaceGen/feat2d_4381.pt,3d-Face3D-FaceGen/feat3d_4381.pt,1
2d-GhostNet-FaceGen/feat2d_1003.pt,3d-Face3D-FaceGen/feat3d_1003.pt,1
2d-GhostNet-FaceGen/feat2d_4382.pt,3d-Face3D-FaceGen/feat3d_4382.pt,1
2d-GhostNet-FaceGen/feat2d_1004.pt,3d-Face3D-FaceGen/feat3d_1004.pt,1
2d-GhostNet-FaceGen/feat2d_4383.pt,3d-Face3D-FaceGen/feat3d_4383.pt,1
2d-GhostNet-FaceGen/feat2d_1005.pt,3d-Face3D-FaceGen/feat3d_1005.pt,1
2d-GhostNet-FaceGen/feat2d_4384.pt,3d-Face3D-FaceGen/feat3d_4384.pt,1
